,regiao,bairro,x,y,renda_mensal_total,populacao,renda_mensal_pessoa,rendimento_nominal_medio
0,norte,ns_apresentacao,248150.5561,9364842.915,27210800.0,79759.0,341.16,0.81
1,norte,igapo,249688.192,9361711.951,11896400.0,28819.0,412.8,0.95
2,norte,lagoa_azul,250369.7232,9367035.556,20652500.0,61289.0,336.97,0.79
3,norte,pajucara,252992.3055,9366001.514,22788000.0,58021.0,392.75,0.92
4,norte,potengi,250958.9713,9363206.506,31906000.0,57848.0,551.55,1.23
5,norte,redinha,254326.0817,9364517.623,5836400.0,16630.0,350.96,0.84
6,norte,salinas,252813.0049,9360891.14,220280.0,1177.0,187.15,0.46
7,sul,candelaria,254613.8318,9353363.923,45274900.0,22391.0,2022.01,4.35
8,sul,capim_macio,256370.2043,9352679.36,50300700.0,22760.0,2210.05,4.71
9,sul,lagoa_nova,255560.4708,9355067.474,80541300.0,37518.0,2146.74,4.01
10,sul,neopolis,255753.6509,9351029.629,24119300.0,22465.0,1073.64,2.32
11,sul,nova_descoberta,256749.1818,9355651.05,11231100.0,12467.0,900.87,2.07
12,sul,pitimbu,252292.5868,9351386.164,30233600.0,24209.0,1248.86,2.69
13,sul,ponta_negra,258772.2055,9349774.709,57466100.0,24681.0,2328.35,3.03
14,leste,alecrim,254114.9313,9359272.724,18915100.0,28705.0,658.95,1.44
15,leste,areia_preta,257592.3007,9359811.465,8805000.0,3878.0,2270.5,4.56
16,leste,barro_vermelho,255541.5928,9359005.639,20175200.0,10087.0,2000.12,4.31
17,leste,cidade_alta,255223.4131,9360037.825,6412980.0,7123.0,900.32,2.01
18,leste,lagoa_seca,255390.2087,9357714.677,5884830.0,5791.0,1016.2,2.21
19,leste,mae_luiza,257896.2163,9359068.347,5557400.0,14959.0,371.51,0.87
20,leste,petropolis,256777.3905,9360234.137,15457100.0,5521.0,2799.69,6.74
21,leste,praia_do_meio,257101.0435,9360791.261,47403300.0,4770.0,9937.8,2.15
22,leste,ribeira,255755.9499,9361184.742,4085000.0,2222.0,1838.43,3.97
23,leste,rocas,256374.2721,9361478.557,58704200.0,10452.0,5616.55,1.2
24,leste,santos_reis,256511.5223,9362543.506,25804200.0,5641.0,4574.4,1.18
25,leste,tirol,256698.3593,9358398.919,48490500.0,16148.0,3002.88,6.46
26,oeste,guarapes,248497.6226,9354316.53,2173620.0,10250.0,212.06,0.53
27,oeste,felipe_camarao,250214.467,9355724.508,22753600.0,50997.0,446.18,0.78
28,oeste,planalto,250358.3468,9352386.846,12026600.0,31206.0,385.39,0.92
29,oeste,bom_pastor,251428.0416,9357496.94,5821290.0,18224.0,319.43,0.75
30,oeste,nordeste,251789.1795,9358902.852,5469170.0,11521.0,474.71,1.08
31,oeste,cidade_nova,252073.0574,9354105.886,6245600.0,17651.0,353.84,0.83
32,oeste,c_esperanca,252641.3881,9355481.029,14523500.0,19356.0,750.34,1.67
33,oeste,dixsept_rosado,253458.6529,9357394.465,7457720.0,15689.0,475.35,1.08
34,oeste,ns_nazare,252921.6963,9356495.571,10568300.0,16136.0,654.95,1.47
35,oeste,quintas,252924.8532,9358537.61,15567600.0,27375.0,568.68,0.96
